,Survived,Pclass,Sex,Age,Siblings/Spouses Aboard,Parents/Children Aboard,Fare
0,0,3,1,22.0,1,0,7.25
1,1,1,0,38.0,1,0,71.2833
2,1,3,0,26.0,0,0,7.925
3,1,1,0,35.0,1,0,53.1
4,0,3,1,35.0,0,0,8.05
5,0,3,1,27.0,0,0,8.4583
6,0,1,1,54.0,0,0,51.8625
7,0,3,1,2.0,3,1,21.075
8,1,3,0,27.0,0,2,11.1333
9,1,2,0,14.0,1,0,30.0708
10,1,3,0,4.0,1,1,16.7
11,1,1,0,58.0,0,0,26.55
12,0,3,1,20.0,0,0,8.05
13,0,3,1,39.0,1,5,31.275
14,0,3,0,14.0,0,0,7.8542
15,1,2,0,55.0,0,0,16.0
16,0,3,1,2.0,4,1,29.125
17,1,2,1,23.0,0,0,13.0
18,0,3,0,31.0,1,0,18.0
19,1,3,0,22.0,0,0,7.225
20,0,2,1,35.0,0,0,26.0
21,1,2,1,34.0,0,0,13.0
22,1,3,0,15.0,0,0,8.0292
23,1,1,1,28.0,0,0,35.5
24,0,3,0,8.0,3,1,21.075
25,1,3,0,38.0,1,5,31.3875
26,0,3,1,26.0,0,0,7.225
27,0,1,1,19.0,3,2,263.0
28,1,3,0,24.0,0,0,7.8792
29,0,3,1,23.0,0,0,7.8958
30,0,1,1,40.0,0,0,27.7208
31,1,1,0,48.0,1,0,146.5208
32,1,3,0,18.0,0,0,7.75
33,0,2,1,66.0,0,0,10.5
34,0,1,1,28.0,1,0,82.1708
35,0,1,1,42.0,1,0,52.0
36,1,3,1,18.0,0,0,7.2292
37,0,3,1,21.0,0,0,8.05
38,0,3,0,18.0,2,0,18.0
39,1,3,0,14.0,1,0,11.2417
40,0,3,0,40.0,1,0,9.475
41,0,2,0,27.0,1,0,21.0
42,1,2,0,3.0,1,2,41.5792
43,1,3,0,19.0,0,0,7.8792
44,0,3,1,30.0,0,0,8.05
45,0,3,1,20.0,1,0,15.5
46,1,3,0,27.0,0,0,7.75
47,0,3,1,16.0,2,0,21.6792
48,0,3,0,18.0,1,0,17.8
49,0,3,1,7.0,4,1,39.6875
50,0,3,1,21.0,0,0,7.8
51,1,1,0,49.0,1,0,76.7292
52,1,2,0,29.0,1,0,26.0
53,0,1,1,65.0,0,1,61.9792
54,1,1,1,46.0,0,0,35.5
55,1,2,0,21.0,0,0,10.5
56,0,3,1,28.5,0,0,7.2292
57,1,2,0,5.0,1,2,27.75
58,0,3,1,11.0,5,2,46.9
59,0,3,1,22.0,0,0,7.2292
60,1,1,0,38.0,0,0,80.0
61,0,1,1,45.0,1,0,83.475
62,0,3,1,4.0,3,2,27.9
63,0,1,1,64.0,0,0,27.7208
64,1,3,1,7.0,1,1,15.2458
65,1,2,0,29.0,0,0,10.5
66,0,3,1,19.0,0,0,8.1583
67,1,3,0,17.0,4,2,7.925
68,0,3,1,26.0,2,0,8.6625
69,0,2,1,32.0,0,0,10.5
70,0,3,0,16.0,5,2,46.9
71,0,2,1,21.0,0,0,73.5
72,0,3,1,26.0,1,0,14.4542
73,1,3,1,32.0,0,0,56.4958
74,0,3,1,25.0,0,0,7.65
75,0,3,1,23.0,0,0,7.8958
76,0,3,1,28.0,0,0,8.05
77,1,2,1,0.83,0,2,29.0
78,1,3,0,30.0,0,0,12.475
79,0,3,1,22.0,0,0,9.0
80,1,3,1,29.0,0,0,9.5
81,1,3,0,31.0,0,0,7.7875
82,0,1,1,28.0,0,0,47.1
83,1,2,0,17.0,0,0,10.5
84,1,3,0,33.0,3,0,15.85
85,0,3,1,16.0,1,3,34.375
86,0,3,1,20.0,0,0,8.05
87,1,1,0,23.0,3,2,263.0
88,0,3,1,24.0,0,0,8.05
89,0,3,1,29.0,0,0,8.05
90,0,3,1,20.0,0,0,7.8542
91,0,1,1,46.0,1,0,61.175
92,0,3,1,26.0,1,2,20.575
93,0,3,1,59.0,0,0,7.25
94,0,3,1,22.0,0,0,8.05
95,0,1,1,71.0,0,0,34.6542
96,1,1,1,23.0,0,1,63.3583
97,1,2,0,34.0,0,1,23.0
98,0,2,1,34.0,1,0,26.0
99,0,3,0,28.0,0,0,7.8958
100,0,3,1,29.0,0,0,7.8958
101,0,1,1,21.0,0,1,77.2875
102,0,3,1,33.0,0,0,8.6542
103,0,3,1,37.0,2,0,7.925
104,0,3,1,28.0,0,0,7.8958
105,1,3,0,21.0,0,0,7.65
106,1,3,1,29.0,0,0,7.775
107,0,3,1,38.0,0,0,7.8958
108,1,3,0,28.0,1,0,24.15
109,0,1,1,47.0,0,0,52.0
110,0,3,0,14.5,1,0,14.4542
111,0,3,1,22.0,0,0,8.05
112,0,3,0,20.0,1,0,9.825
113,0,3,0,17.0,0,0,14.4583
114,0,3,1,21.0,0,0,7.925
115,0,3,1,70.5,0,0,7.75
